user_id,Count,report_weight,Last_update_date,Date,date_of_birth,sex,current_height,current_weight,diet_type,activity_level
31,92,68,1455044400,1455044400,130791600,0,164,68,0,0
31,92,68,1455130800,1455130800,130791600,0,164,68,0,0
31,92,68,1455217200,1455217200,130791600,0,164,68,0,0
31,92,68,1455303600,1455303600,130791600,0,164,68,0,0
31,92,68,1455390000,1455390000,130791600,0,164,68,0,0
31,92,68,1455476400,1455476400,130791600,0,164,68,0,0
31,92,68,1455562800,1455562800,130791600,0,164,68,0,0
31,92,68,1455649200,1455649200,130791600,0,164,68,0,0
31,92,68,1455735600,1455735600,130791600,0,164,68,0,0
31,92,68,1455822000,1455822000,130791600,0,164,68,0,0
31,92,68,1455908400,1455908400,130791600,0,164,68,0,0
31,92,68,1455994800,1455994800,130791600,0,164,68,0,0
31,92,68,1456081200,1456081200,130791600,0,164,68,0,0
31,92,68,1456167600,1456167600,130791600,0,164,68,0,0
31,92,68,1456254000,1456254000,130791600,0,164,68,0,0
31,92,68,1456340400,1456340400,130791600,0,164,68,0,0
31,92,68,1456426800,1456426800,130791600,0,164,68,0,0
31,92,68,1456513200,1456513200,130791600,0,164,68,0,0
31,92,68,1456599600,1456599600,130791600,0,164,68,0,0
31,92,68,1456686000,1456686000,130791600,0,164,68,0,0
31,92,68,1456772400,1456772400,130791600,0,164,68,0,0
31,92,68,1456858800,1456858800,130791600,0,164,68,0,0
31,92,68,1456945200,1456945200,130791600,0,164,68,0,0
31,92,68,1457031600,1457031600,130791600,0,164,68,0,0
31,92,68,1457118000,1457118000,130791600,0,164,68,0,0
31,92,68,1457204400,1457204400,130791600,0,164,68,0,0
31,92,68,1457290800,1457290800,130791600,0,164,68,0,0
31,92,68,1457377200,1457377200,130791600,0,164,68,0,0
31,92,68,1457463600,1457463600,130791600,0,164,68,0,0
31,92,68,1457550000,1457550000,130791600,0,164,68,0,0
31,92,68,1457636400,1457636400,130791600,0,164,68,0,0
31,92,68,1457809200,1457809200,130791600,0,164,68,0,0
31,92,68,1457895600,1457895600,130791600,0,164,68,0,0
31,92,68,1457982000,1457982000,130791600,0,164,68,0,0
31,92,68,1458068400,1458068400,130791600,0,164,68,0,0
31,92,68,1458154800,1458154800,130791600,0,164,68,0,0
31,92,68,1458241200,1458241200,130791600,0,164,68,0,0
31,92,68,1458327600,1458327600,130791600,0,164,68,0,0
31,92,68,1458414000,1458414000,130791600,0,164,68,0,0
31,92,68,1458500400,1458500400,130791600,0,164,68,0,0
31,92,68,1458586800,1458586800,130791600,0,164,68,0,0
31,92,68,1458673200,1458673200,130791600,0,164,68,0,0
31,92,68,1458759600,1458759600,130791600,0,164,68,0,0
31,92,68,1458846000,1458846000,130791600,0,164,68,0,0
31,92,68,1458932400,1458932400,130791600,0,164,68,0,0
31,92,68,1459018800,1459018800,130791600,0,164,68,0,0
31,92,68,1459105200,1459105200,130791600,0,164,68,0,0
31,92,68,1459191600,1459191600,130791600,0,164,68,0,0
31,92,68,1459278000,1459278000,130791600,0,164,68,0,0
31,92,68,1459364400,1459364400,130791600,0,164,68,0,0
31,92,68,1459450800,1459450800,130791600,0,164,68,0,0
31,92,68,1459623600,1459623600,130791600,0,164,68,0,0
31,92,68,1459710000,1459710000,130791600,0,164,68,0,0
31,92,68,1459796400,1459796400,130791600,0,164,68,0,0
31,92,68,1459882800,1459882800,130791600,0,164,68,0,0
31,92,68,1459969200,1459969200,130791600,0,164,68,0,0
31,92,68,1460055600,1460055600,130791600,0,164,68,0,0
