,user_id,year_of_birth,report_weight,current_height,sex
294,9087,1995.0,6,163,0
92,3283,2016.0,65,147,0
370,10954,2000.0,57,168,0
380,11280,1994.0,99,186,1
402,11838,1988.0,58,158,1
358,10676,,60,165,1
152,5075,1982.0,48,165,0
338,10172,1996.0,43,175,1
24,627,1976.0,65,160,0
318,9587,1984.0,49,158,0
421,12215,1973.0,75,165,0
184,5913,1995.0,49,157,0
164,5295,1997.0,50,159,0
517,15179,1999.0,67,169,1
33,927,1991.0,48,170,1
590,17217,1976.0,60,163,0
111,3724,1998.0,64,170,1
562,16290,1992.0,48,168,0
584,17093,1993.0,57,165,1
627,18513,1983.0,6,174,0
476,13934,1998.0,57,155,1
513,15106,1998.0,77,174,0
239,7728,2016.0,51,157,0
521,15230,2016.0,65,172,0
